name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Applications Engineer   (Job# 257161),,,,,Нижний Новгород,2003-07-16T11:17:11+0400
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",,,1000.0,USD,Москва,2003-07-16T18:31:53+0400
Install Engineer   (Job# 220879),,,,,Нижний Новгород,2003-07-16T20:32:37+0400
Intel Tools Business Development Manager   (Job# 257157),,,,,Нижний Новгород,2003-07-16T20:36:55+0400
Release Manager   (Job# 260050),,,,,Нижний Новгород,2003-07-16T20:41:57+0400
НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),,,,,Санкт-Петербург,2003-07-17T10:07:35+0400
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",,,1000.0,USD,Москва,2003-07-17T11:25:13+0400
Системный администратор,,,800.0,USD,Москва,2003-07-17T15:47:04+0400
Senior CAD Engineer   (Job# 253952),,,,,Москва,2003-07-17T20:03:13+0400
Senior CAD Engineer   (Job# 253955),,,,,Москва,2003-07-17T20:08:18+0400
Senior Research Scientist   (Job# 259572),,,,,Нижний Новгород,2003-07-17T20:13:18+0400
Senior Software Engineer   (Job# 259847),,,,,Нижний Новгород,2003-07-17T20:14:50+0400
Senior Software Engineer   (Job# 259350),,,,,Нижний Новгород,2003-07-17T20:18:32+0400
Software Engineer   (Job# 259576),,,,,Нижний Новгород,2003-07-17T20:20:49+0400
Software Engineer   (Job# 254874),,,,,Нижний Новгород,2003-07-17T20:22:47+0400
Validation Engineer   (Job# 206051),,,,,Нижний Новгород,2003-07-17T20:28:02+0400
Руководитель направления СКС,,,,,Санкт-Петербург,2003-07-18T11:45:22+0400
Продукт-менеджер по промышленным компьютерам,,,1500.0,USD,Санкт-Петербург,2003-07-18T12:27:41+0400
Financial systems support specialist (IT Specialist),,,2900.0,USD,Москва,2003-07-18T16:38:26+0400
Менеджер в отдел сувенирной продукции,,,500.0,USD,Москва,2003-07-18T18:59:15+0400
Sales Consultant,,,800.0,USD,Москва,2003-07-21T17:04:03+0400
Администратор  (OEBS),,,1000.0,USD,Москва,2003-07-23T14:44:49+0400
Системный администратор,,,,,Москва,2003-07-23T16:07:50+0400
Менеджер по производству в иностранную телекоммуникационную компанию (спутниковая связь),,,,,Москва,2003-07-24T13:01:41+0400
"Глава Департамента IT технологий крупной розничной сети (FMCG) (Москва, Код: AAWW)",,,,,Москва,2003-07-24T15:49:11+0400
"Менеджер по продажам телекоммуникационных услуг (Москва, Код: AN-TK)",,,,,Москва,2003-07-24T15:54:27+0400
Руководитель/ старший менеджер отдела веб-девелопмента,,,,,Москва,2003-07-25T12:44:14+0400
Менеджер по продажам проектов,,,2000.0,USD,Санкт-Петербург,2003-07-29T12:17:44+0400
Менеджер проекта  (Project Manager) по внедрению новых услуг,,,,,Москва,2003-08-11T12:06:39+0400
Тест,,,,,Москва,2003-08-14T12:11:43+0400
Deputy Head of IT,,,,,Москва,2003-08-14T13:28:33+0400
PHP-программист,,,,,Москва,2003-08-14T16:30:05+0400
Web-дизайнер,,,,,Москва,2003-08-14T16:35:38+0400
Специалист по SAP R/3,,,2000.0,USD,Москва,2003-08-14T17:40:03+0400
Менеджер по работе с клиентами,,,,,Москва,2003-08-14T18:01:10+0400
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,,,,Москва,2003-08-14T18:15:31+0400
Координатор информационной системы,,,,,Москва,2003-08-14T19:03:30+0400
Специалист по поддержке банковских приложений,,,2500.0,USD,Москва,2003-08-15T11:37:41+0400
IT- специалист,,,,,Москва,2003-08-15T12:05:42+0400
Руководитель отдела маркетинга,,,2500.0,USD,Москва,2003-08-15T13:05:04+0400
Специалист службы технической поддержки,,,,,Москва,2003-08-15T13:27:20+0400
Sales Director,,,5000.0,USD,Москва,2003-08-15T15:01:10+0400
Системный аналитик,,,1500.0,USD,Москва,2003-08-15T18:20:06+0400
Программист 1С,,,,,Москва,2003-08-15T18:39:27+0400
IT Business Analyst,,,,,Москва,2003-08-15T18:58:14+0400
Oper Security Officer,,,,,Москва,2003-08-15T19:11:14+0400
IT Support Specialist (Finance Department),,,,,Москва,2003-08-18T00:00:00+0400
Business Application Specialist,,,1450.0,USD,Москва,2003-08-18T10:15:10+0400
Database Developer/Business analyst,,,1600.0,USD,Москва,2003-08-18T10:39:13+0400
Developer and Analyst,,,1000.0,USD,Москва,2003-08-18T10:53:37+0400
Systems Management Consultant,,,,,Москва,2003-08-18T11:22:12+0400
Sales Manager,,,3000.0,USD,Москва,2003-08-18T11:47:53+0400
Программист 1С,,,,,Москва,2003-08-18T12:28:59+0400
Программист 1С,,,,,Москва,2003-08-18T12:46:54+0400
Системный администратор,,,400.0,USD,Москва,2003-08-18T13:30:28+0400
Rational Product Technical Sales,,,3000.0,USD,Москва,2003-08-18T15:15:55+0400
Product Manager,,,2000.0,USD,Москва,2003-08-18T15:48:40+0400
ERP - consultant,,,1800.0,USD,Москва,2003-08-18T17:35:51+0400
Программист,,,800.0,USD,Москва,2003-08-18T18:40:13+0400
SNA / IT - manager,,,1300.0,USD,Москва,2003-08-18T18:44:42+0400
Начальник юридического отдела,,,,,Москва,2003-08-18T18:52:01+0400
Менеджер по работе с корпоративными заказчиками.,,,,,Санкт-Петербург,2003-08-19T00:00:00+0400
Сервис-инженер.,,,350.0,USD,Санкт-Петербург,2003-08-19T00:00:00+0400
Telecom Engineer,,,1500.0,USD,Москва,2003-08-19T11:17:22+0400
Internet Product Manager,,,,,Москва,2003-08-19T11:58:51+0400
Sales Engineer,,,2000.0,USD,Москва,2003-08-19T13:40:44+0400
PR-менеджер,,,,,Москва,2003-08-19T13:48:08+0400
NET Программист,,,900.0,USD,Москва,2003-08-19T15:19:39+0400
Инженер-проектировщик,,,500.0,USD,Москва,2003-08-19T15:51:06+0400
Системный инженер,,,700.0,USD,Москва,2003-08-19T15:59:16+0400
Менеджер по продажам,,,800.0,USD,Москва,2003-08-19T16:04:44+0400
Аккаунт Менеджер/Account Manager,,,,,Москва,2003-08-19T16:51:51+0400
Системный администратор,,,330.0,USD,Санкт-Петербург,2003-08-19T17:13:18+0400
Программист,,,1000.0,USD,Москва,2003-08-19T19:02:37+0400
INTERNET BANKING PRODUCT MANAGER,,,3000.0,USD,Москва,2003-08-19T21:07:11+0400
Программист-разработчик на Access в крупную компьютерную компанию.,,,700.0,USD,Москва,2003-08-20T00:00:00+0400
Key Account Manager,,,2500.0,USD,Москва,2003-08-20T00:00:00+0400
Telecommunication Analyst,,,1700.0,USD,Москва,2003-08-20T00:00:00+0400
IT Specialist (Financial System Support),,,2500.0,USD,Москва,2003-08-20T11:49:57+0400
Программист-разработчик,,,,,Москва,2003-08-20T14:38:31+0400
Руководитель группы разработчиков,,,,,Москва,2003-08-20T14:48:12+0400
Менеджер по качеству,,,,,Москва,2003-08-20T14:54:34+0400
"Консультант по внедрению SAP/R3 (FI, CO, MM)",,,2500.0,USD,Москва,2003-08-20T14:59:12+0400
Менеджер проекта,,,,,Москва,2003-08-20T15:00:04+0400
Менеджер проекта,,,,,Москва,2003-08-20T15:16:01+0400
Менеджер по продажам,,,,,Москва,2003-08-20T15:20:47+0400
Руководитель проекта,,,,,Москва,2003-08-20T15:25:15+0400
Менеджер по работе с корпоративными клиентами,,,,,Москва,2003-08-20T15:53:06+0400
Менеджер по работе с корпоративными клиентами,,,,,Москва,2003-08-20T15:53:06+0400
Инженер электрик,,,,,Москва,2003-08-20T15:56:22+0400
Менеджер по работе с партнерами (вендоры),,,1200.0,USD,Москва,2003-08-20T15:59:10+0400
Руководитель отдела нефти и газа,,,,,Москва,2003-08-20T16:01:39+0400
Аккаунт Менеджер/Account Manager,,,,,Москва,2003-08-20T16:40:01+0400
Sales and Marketing specialist,,,1000.0,USD,Москва,2003-08-20T18:30:19+0400
Менеджер по продажам,,,1500.0,USD,Москва,2003-08-20T18:35:00+0400
Менеджер по продуктам Allied Telesyn,,,,,Москва,2003-08-20T19:01:12+0400
Support Engineer,,,,,Москва,2003-08-21T00:00:00+0400
Sales Representative,,,,,Москва,2003-08-21T00:00:00+0400
Сервис - инженер на выдачу,,,250.0,USD,Санкт-Петербург,2003-08-21T11:37:23+0400
Network Administrator,,,,,Москва,2003-08-21T18:15:45+0400
Менеджер по закупкам (пассивное сетевое оборудование),,,1000.0,USD,Москва,2003-08-21T21:51:34+0400
Программист 1С,,,1300.0,USD,Москва,2003-08-22T00:00:00+0400
Solution Architect -  SAP Business One,,,,,Москва,2003-08-22T00:00:00+0400
Ведущий инженер,,,600.0,USD,Москва,2003-08-22T12:48:20+0400
Менеджер проектов по внедрению информационных систем,,,,,Москва,2003-08-22T13:10:54+0400
Програмист,,,,,Москва,2003-08-22T13:36:48+0400
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,,,,Москва,2003-08-22T16:44:45+0400
Программист 1С,,,,,Москва,2003-08-22T16:47:19+0400
Аналитик (Product-Marketing),,,,,Москва,2003-08-22T17:08:54+0400
Тестер ПО,,,400.0,USD,Санкт-Петербург,2003-08-22T17:14:57+0400
Руководитель проекта по внедрению и сопровождению финансового модуля КИС,,,2500.0,USD,Москва,2003-08-22T17:35:21+0400
Специалист по сопровождению SAP R/3,,,1600.0,USD,Москва,2003-08-22T17:36:20+0400
Аккаунт-менеджер/руководитель проекта/помощник руководителя проекта,,,1500.0,USD,Москва,2003-08-22T17:48:58+0400
Internship course in IT Department for 4 - 5 yrs student,,,,,Санкт-Петербург,2003-08-22T18:12:50+0400
Дизайнер,,,,,Москва,2003-08-23T00:00:00+0400
Руководитель проектов в телекоммуникационную компанию,,,1500.0,USD,Москва,2003-08-23T19:33:28+0400
"Менеджер по продаже профессионального видео-, аудиооборудования",,,,,Москва,2003-08-25T00:00:00+0400
Инженер-конструктор,,,500.0,USD,Санкт-Петербург,2003-08-25T00:00:00+0400
Заместитель начальника отдела закупок,,,5000.0,USD,Москва,2003-08-25T00:00:00+0400
Программист Visual C++,,,500.0,USD,Санкт-Петербург,2003-08-25T00:00:00+0400
Старший консультант/консультант (отдел методологии бухгалтерского учета),,,,,Москва,2003-08-25T00:00:00+0400
Системный администратор,,,1000.0,USD,Москва,2003-08-25T00:00:00+0400
ПРОГРАММИСТ,,,800.0,USD,Москва,2003-08-25T11:14:43+0400
Ведущий специалист по работе с партнерами,,,1200.0,USD,Москва,2003-08-25T12:17:56+0400
Ведущий специалист САПР,,,2000.0,USD,Москва,2003-08-25T12:22:36+0400
Консультант по внедрению системы управления персоналом,,,1000.0,USD,Москва,2003-08-25T12:24:49+0400
Ведущий специалист по продажам ПО (финансовые и аналитические системы),,,1200.0,USD,Москва,2003-08-25T12:26:47+0400
Ведущий консультант по внедрению Oracle e-Business Suite (финансы),,,1500.0,USD,Москва,2003-08-25T12:28:39+0400
Менеджер проекта по внедрению MBS Navision,,,1500.0,USD,Москва,2003-08-25T12:30:16+0400
"Ведущий специалист, тренер по продуктам Microsoft Business Solutions – Navision и Axapta",,,1500.0,USD,Москва,2003-08-25T12:31:33+0400
Консультант по Business Intelligence/Data Warehouse,,,,,Москва,2003-08-25T13:19:13+0400
Проектировщик,,,1300.0,USD,Москва,2003-08-25T13:39:34+0400
WEB-программист,,,,,Москва,2003-08-25T14:15:22+0400
Sales-Manager Tekelec,,,4000.0,USD,Москва,2003-08-25T14:35:37+0400
Менеджер по продажам,,,3000.0,USD,Москва,2003-08-25T16:38:00+0400
Менеджер по маркетингу,,,800.0,USD,Москва,2003-08-25T17:13:53+0400
Product Manager (IP Services),,,2500.0,USD,Москва,2003-08-25T18:53:43+0400
Web Developer,,,,,Санкт-Петербург,2003-08-26T00:00:00+0400
ИТ специалист (SAP R/3),,,3000.0,USD,Москва,2003-08-26T00:00:00+0400
Администратор баз данных SAP R/3,,,2000.0,USD,Москва,2003-08-26T00:00:00+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,,,1300.0,USD,Москва,2003-08-26T00:00:00+0400
Менеджер по продажам,,,,,Москва,2003-08-26T09:43:59+0400
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,,,,Москва,2003-08-26T12:53:06+0400
Sales manager,,,2000.0,USD,Москва,2003-08-26T14:40:25+0400
Специалист в аналитическую службу,,,,,Москва,2003-08-26T15:26:13+0400
Эксперт по системам безопасности,,,,,Москва,2003-08-26T16:19:53+0400
Начальник отдела продаж и маркетинга,,,,,Москва,2003-08-26T18:09:30+0400
Системный администратор,,,,,Москва,2003-08-26T18:19:57+0400
Менеджер по продажам,,,,,Москва,2003-08-26T19:50:56+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,,,1300.0,USD,Москва,2003-08-26T19:56:42+0400
Руководитель проектов,,,1200.0,USD,Санкт-Петербург,2003-08-27T00:00:00+0400
"Архитектор (VB, ASP)",,,700.0,USD,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по маркетингу,,,700.0,USD,Санкт-Петербург,2003-08-27T00:00:00+0400
Разработчик компиляторов,,,1000.0,USD,Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов (системы автоматизации документооборота),,,600.0,USD,Москва,2003-08-27T09:45:08+0400
Руководитель направления по системам отображения (Barco),,,,,Москва,2003-08-27T09:46:24+0400
"Руководитель проектов (РРЛ, ВОЛС, Транк и т.д.)",,,,,Москва,2003-08-27T09:47:52+0400
Специалист управления автоматизированных  систем коммерческого учета,,,1000.0,USD,Москва,2003-08-27T09:49:05+0400
"Системный администратор на ПО (Rational ClearCase, ClearQuest)",,,800.0,USD,Москва,2003-08-27T09:50:47+0400
Консультант по внедрению ERP-систем,,,1000.0,USD,Москва,2003-08-27T09:52:28+0400
Разработчик баз данных,,,600.0,USD,Санкт-Петербург,2003-08-27T10:03:28+0400
Network Administrator,,,1200.0,USD,Москва,2003-08-27T11:09:35+0400
Ведущий специалист группы передачи данных,,,,,Москва,2003-08-27T14:20:25+0400
Сспециалист по трафику (Webmaster Sharing Program),,,700.0,USD,Москва,2003-08-27T17:59:02+0400
Специалист группы контроля качества,,,,,Москва,2003-08-28T00:00:00+0400
Руководитель представительства,,,1111.0,USD,Челябинск,2003-08-28T00:00:00+0400
Стажер отдела консалтинга и внедрения,,,,,Москва,2003-08-28T00:00:00+0400
Главный   специалист  службы развития первичной сети,,,,,Москва,2003-08-28T00:00:00+0400
Программист-разработчик Delphi+Pl/SQL (Oracle),,,,,Москва,2003-08-28T00:00:00+0400
Консультант по внедрению ERP-системы,,,,,Москва,2003-08-28T00:00:00+0400
Менеджер проектов - строительство объектов связи,,,,,Москва,2003-08-28T00:00:00+0400
Специалист по технической поддержке - сопровождению,,,,,Москва,2003-08-28T00:00:00+0400
"Менеджер по работе с партнерами, региональному развитию бизнеса",,,,,Москва,2003-08-28T00:00:00+0400
Аудитор,,,1000.0,USD,Москва,2003-08-28T00:00:00+0400
Специалист центра обработки заявок (Call-center),,,,,Москва,2003-08-28T00:00:00+0400
Директор по маркетингу и PR,,,,,Москва,2003-08-28T00:00:00+0400
Product-manager  (телефония),,,,,Москва,2003-08-28T00:00:00+0400
Recruitment Researcher (IT/Telecom),,,,,Москва,2003-08-28T00:00:00+0400
Начальник отдела ПО,,,,,Москва,2003-08-28T10:23:02+0400
Системный администратор,,,,,Москва,2003-08-28T16:55:09+0400
Инженер-проектировщик (проектирование систем охранно-пожарной сигнализации):,,,700.0,USD,Москва,2003-08-28T17:25:38+0400
Инженер-проектировщик (проектирование СКС),,,700.0,USD,Москва,2003-08-28T17:28:41+0400
Руководитель проектов,,,4000.0,USD,Москва,2003-08-28T17:54:02+0400
Специалист по Quorum,,,,,Москва,2003-08-29T00:00:00+0400
Менеджер по продажам IT проектов,,,5000.0,USD,Москва,2003-08-29T00:00:00+0400
Менеджер по работе с клиентами,,,5000.0,USD,Москва,2003-08-29T00:00:00+0400
New business development director,,,,,Москва,2003-08-29T11:36:09+0400
Ассистент руководителя IT-департамента,,,800.0,USD,Москва,2003-08-29T12:14:36+0400
Оператор HelpDesk,,,,,Москва,2003-08-29T16:04:45+0400
Advertising manager,,,,,Москва,2003-08-29T16:30:59+0400
"Программист, разработчик баз данных",,,,,Москва,2003-08-29T17:07:04+0400
Project Manager (business-analysis),,,2500.0,USD,Москва,2003-08-29T18:08:11+0400
"Системный администратор в крупный производственно-торговый холдинг (Санкт-Петербург, код OD-GSA)",,,,,Санкт-Петербург,2003-08-29T18:24:21+0400
Системный администратор в крупную компанию - лидер на рынке наружной рекламы,,,,,Москва,2003-08-29T21:26:58+0400
Purchasing Manager (NP),,,1900.0,USD,Москва,2003-08-31T13:47:16+0400
Сервис-инженер.,,,350.0,USD,Санкт-Петербург,2003-08-31T14:48:37+0400
Менеджер по работе с корпоративными заказчиками.,,,1000.0,USD,Санкт-Петербург,2003-08-31T14:50:49+0400
Инженер по тестированию.,,,300.0,USD,Санкт-Петербург,2003-08-31T14:52:27+0400
Продукт-менеджер по промышленным компьютерам,,,500.0,USD,Санкт-Петербург,2003-08-31T14:56:28+0400
"Менеджер по развитию направления (автоматизация документооборота, аналитические решения с использованием OLAP-технологий).",,,,,Санкт-Петербург,2003-08-31T14:59:48+0400
Technical Consultant (telecom sphere),,,3000.0,USD,Москва,2003-09-01T00:00:00+0400
Функциональный консультант,,,2000.0,USD,Москва,2003-09-01T00:00:00+0400
Специалист Scala,,,,,Москва,2003-09-01T00:00:00+0400
Program Coordinator   (Job# 257159),,,,,Москва,2003-09-01T00:00:00+0400
Intel Tools Business Development Manager   (Job# 257157),,,,,Нижний Новгород,2003-09-01T00:00:00+0400
C Developer.,,,1300.0,USD,Москва,2003-09-01T00:00:00+0400
SAP R/3 (SD module) Консультант,,,3000.0,USD,Москва,2003-09-01T00:00:00+0400
Team Leader,,,1500.0,USD,Санкт-Петербург,2003-09-01T00:00:00+0400
С/C++ разработчика под Linux,,,1200.0,USD,Санкт-Петербург,2003-09-01T00:00:00+0400
Инженер по поддержке ППО,,,,,Москва,2003-09-01T11:36:10+0400
Специалист по поддержке ППО CRM,,,,,Москва,2003-09-01T11:37:25+0400
Технический писатель,,,500.0,USD,Москва,2003-09-01T12:06:46+0400
Програмист SQL,,,800.0,USD,Москва,2003-09-01T12:09:53+0400
Инженер по автоматизированному тестированию,,,700.0,USD,Москва,2003-09-01T12:12:04+0400
Тестировщик,,,,,Москва,2003-09-01T12:32:50+0400
Журналист,,,800.0,USD,Москва,2003-09-01T14:50:44+0400
Специалист по установке ПО,,,,,Москва,2003-09-01T17:28:17+0400
Дизайнер-верстальщик,,,,,Москва,2003-09-01T17:36:37+0400
Сотрудник технического отдела,,,,,Москва,2003-09-01T17:41:07+0400
Программист,,,900.0,USD,Москва,2003-09-01T17:50:44+0400
Системный администратор в банк,,,,,Москва,2003-09-01T17:55:09+0400
Менеджер проектов,,,,,Москва,2003-09-01T18:01:13+0400
Менеджер по работе с партнерами,,,1500.0,USD,Москва,2003-09-01T18:04:49+0400
Специалист по биллингу,,,,,Москва,2003-09-01T18:11:11+0400
Менеджер проекта,,,,,Москва,2003-09-01T18:12:56+0400
Системный администратор,,,,,Москва,2003-09-01T18:15:27+0400
Системный инженер,,,,,Москва,2003-09-01T18:17:06+0400
Senior PR Specialist,,,,,Москва,2003-09-01T19:13:29+0400
PR Specialist,,,,,Москва,2003-09-01T19:29:06+0400
"Специалист по сопровождению ИС ""Scala""",,,,,Москва,2003-09-02T00:00:00+0400
BCP Officer,,,,,Москва,2003-09-02T09:59:59+0400
Software developer,,,,,Москва,2003-09-02T10:00:43+0400
Менеджер по работе с клиентами,,,1000.0,USD,Москва,2003-09-02T11:00:14+0400
Тест-аналитик,,,1000.0,USD,Москва,2003-09-02T11:01:04+0400
Менеджер по продажам услуг по заказной разработке ПО,,,2500.0,USD,Москва,2003-09-02T11:02:37+0400
Менеджер по продажам услуг по заказной разработке ПО,,,2500.0,USD,Москва,2003-09-02T11:05:22+0400
Разработчик C#.NET,,,800.0,USD,Москва,2003-09-02T11:07:57+0400
Разработчик VB,,,800.0,USD,Москва,2003-09-02T11:09:25+0400
Консультант в приемную,,,,,Москва,2003-09-02T11:18:41+0400
Консультант по продажам программного обеспечения,,,600.0,USD,Москва,2003-09-02T11:40:17+0400
Инженер службы поддержки продаж (техническая безопасность),,,1000.0,USD,Москва,2003-09-02T12:14:13+0400
Менеджер по продажам,,,1500.0,USD,Москва,2003-09-02T12:18:18+0400
Руководитель проектов/Консультант в области Data Mining,,,,,Москва,2003-09-02T12:56:39+0400
Sales Representative (IT),,,,,Москва,2003-09-02T13:02:09+0400
Key Account Manager (IT),,,,,Москва,2003-09-02T13:06:48+0400
Помощник системного администратора,,,300.0,USD,Санкт-Петербург,2003-09-02T13:29:36+0400
Старший специалист отдела сопровождения систем электронного документооборота,,,,,Москва,2003-09-02T17:44:38+0400
Специалист отдела сопровождения систем электронного документооборота,,,,,Москва,2003-09-02T17:52:33+0400
Teхнический специалист по продуктам/технологиям SUN Microsystems,,,,,Москва,2003-09-02T19:53:00+0400
Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,,,3333.0,USD,Москва,2003-09-03T00:00:00+0400
Менеджер по продажам,,,1000.0,USD,Москва,2003-09-03T10:00:33+0400
Программист - разработчик баз данных:,,,,,Москва,2003-09-03T11:35:31+0400
Начальник отдела IT,,,4000.0,USD,Москва,2003-09-03T14:34:57+0400
Сервис-инженер в Информационно-технический отдел,,,650.0,USD,Москва,2003-09-03T15:05:49+0400
Системный  администратор,,,,,Москва,2003-09-03T15:44:29+0400
Системный администратор в крупную компанию - лидер на рынке наружной рекламы,,,,,Москва,2003-09-03T21:58:04+0400
Программист 1С,,,,,Москва,2003-09-04T00:00:00+0400
"Программист /  хорошее знание Delphi, SQL",,,1200.0,USD,Москва,2003-09-04T00:00:00+0400
Консультант в области IT проектов,,,,,Москва,2003-09-04T10:56:05+0400
ABAP программист,,,1200.0,USD,Москва,2003-09-04T12:52:28+0400
Методолог (в службу методологии и развития),,,,,Москва,2003-09-04T16:19:03+0400
Business Development Director,,,,,Москва,2003-09-04T16:50:28+0400
Pre-Sales Manager,,,,,Москва,2003-09-04T17:02:00+0400
Системный администратор,,,,,Москва,2003-09-04T19:53:25+0400
"Project manager (ERP, SCM)",,,2000.0,USD,Москва,2003-09-05T00:00:00+0400
"Project manager (ERP, SCM)",,,2000.0,USD,Москва,2003-09-05T00:00:00+0400
Менеджер по IT и системному интегрированию,,,3000.0,USD,Москва,2003-09-05T00:00:00+0400
Дизайнер интерфейсов,,,800.0,USD,Москва,2003-09-05T12:25:03+0400
"Java developer, Team Leader, Architect",,,1800.0,USD,Москва,2003-09-05T13:46:54+0400
Программист 1С,,,1000.0,USD,Москва,2003-09-05T15:27:50+0400
Ассистент консультанта Департамента бизнес-решений,,,700.0,USD,Москва,2003-09-05T15:30:05+0400
МЕНЕДЖЕР ПО РАЗВИТИЮ КОРПОРАТИВНЫХ ПРОДАЖ.,,,1500.0,USD,Москва,2003-09-05T17:38:51+0400
АДМИНИСТРАТОР ОТДЕЛА ПРОДАЖ,,,600.0,USD,Москва,2003-09-05T17:44:08+0400
АССИСТЕНТ МЕНЕДЖЕРА ПО ПРОДАЖАМ.,,,500.0,USD,Москва,2003-09-05T17:45:04+0400
МЕНЕДЖЕР ПО РАЗВИТИЮ РЕГИОНАЛЬНЫХ ПРОДАЖ.,,,2000.0,USD,Москва,2003-09-05T17:45:53+0400
МЕНЕДЖЕР ПО РАЗВИТИЮ РОЗНИЧНЫХ ПРОДАЖ,,,800.0,USD,Москва,2003-09-05T17:46:53+0400
РУКОВОДИТЕЛЬ ГРУППЫ ПРОДАЖ – РЕГИОНАЛЬНЫЙ МЕНЕДЖЕР.,,,1500.0,USD,Москва,2003-09-05T17:47:58+0400
МЕНЕДЖЕР ПО ПРОДАЖАМ КОМПЬЮТЕРНОЙ И ОФИСНОЙ ТЕХНИКИ.,,,1000.0,USD,Москва,2003-09-05T17:49:01+0400
МЕНЕДЖЕР ПО РАБОТЕ С КЛЮЧЕВЫМИ КОРПОРАТИВНЫМИ КЛИЕНТАМИ.,,,1500.0,USD,Москва,2003-09-05T17:53:59+0400
МЕНЕДЖЕР ПО РАБОТЕ С КОРПОРАТИВНЫМИ КЛИЕНТАМИ.,,,2000.0,USD,Москва,2003-09-05T17:56:48+0400
Постановщик задач для ПО микроконтроллеров,,,1200.0,USD,Москва,2003-09-05T19:12:55+0400
Специалист по технической  поддержке,,,700.0,USD,Москва,2003-09-05T19:14:10+0400
Программист С++,,,1000.0,USD,Москва,2003-09-05T19:15:24+0400
Системный администратор,,,1800.0,USD,Москва,2003-09-05T19:47:37+0400
Account Management Group Leader,,,,,Москва,2003-09-05T21:31:08+0400
Sales representative,,,1000.0,USD,Москва,2003-09-06T00:00:00+0400
Программист С,,,500.0,USD,Москва,2003-09-08T14:02:29+0400
"Ведущий аналитик, проект ""Расчетный банк""",,,1500.0,USD,Москва,2003-09-08T14:08:02+0400
"Аналитик, направление ""Аналитические системы""",,,1000.0,USD,Москва,2003-09-08T14:10:11+0400
Специалист сопровождения программных продуктов,,,500.0,USD,Москва,2003-09-08T14:13:47+0400
Специалист по внедрению банковского ПО,,,900.0,USD,Москва,2003-09-08T14:20:27+0400
